Title,Directions,Quantity,Unit01,Ingredient01,Quantity02,Unit02,Ingredient02,Quantity03,Unit03,Ingredient03,Quantity04,Unit04,Ingredient04,Quantity05,Unit05,Ingredient05,Quantity06,Unit06,Ingredient06,Quantity07,Unit07,Ingredient07,Quantity08,Unit08,Ingredient08,Quantity09,Unit09,Ingredient09,Quantity10,Unit10,Ingredient10,Quantity11,Unit11,Ingredient11,Quantity12,Unit12,Ingredient12,Quantity13,Unit13,Ingredient13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Ingredient15,Quantity16,Unit16,Ingredient16,Quantity17,Unit17,Ingredient17,Quantity18,Unit18,Ingredient18,Quantity19,Unit19,Ingredient19,Category,ingredients,tokenized_ingr,ingr_json
Dutch Apple Pie,"Combine apples, 1/2 cup sugar, and cinnamon. Put into the unbaked pie shell. Top with 1/2 cup sugar, flour, butter, and cinnamon. Bake 45-50 minutes at 350 degrees.",4,nan,"large apples, sliced",1,cup ,sugar,1,tsp,cinnamon, 3/4,cup ,flour, 1/3,cup ,butter, 1/2,tsp,cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"large apples, sliced;sugar;cinnamon;flour;butter;cinnamon;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['large', 'apples', ',', 'sliced', ';', 'sugar', ';', 'cinnamon', ';', 'flour', ';', 'butter', ';', 'cinnamon', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'apples']"
Fresh Strawberry Pie,Slice 1 basket of strawberries. Put half the berries in the bottom of a baked pie shell. Prepare glaze by combining remaining ingredients and cooking in a double-boiler until thickened.  Stir the other half of the berries into the glaze. Pour into the shell. Cool. Top with whipped cream and halved berries.,2,Tbsp,cornstarch,1,cup ,sugar,1 1/4,cups,water,a few,drops,red food coloring,1,Tbsp,butter,1,tsp,lemon juice,1,basket,strawberries,1,nan,"pie shell, baked",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"cornstarch;sugar;water;red food coloring;butter;lemon juice;strawberries;pie shell, baked;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['cornstarch', ';', 'sugar', ';', 'water', ';', 'red', 'food', 'coloring', ';', 'butter', ';', 'lemon', 'juice', ';', 'strawberries', ';', 'pie', 'shell', ',', 'baked', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Lemon Cloud Pie,"Combine in sauce pan 3/4 cup sugar, cornstarch, water, lemon rind, and juice, and slightly beaten egg yolk. Cook over medium heat stirring constantly until thick. Remove from heat. Add softened cheese, blend well. Cool. Beat egg whites until stiff. Add 1/4 sugar. Fold into lemon mixture. Spoon into crust. Chill 2 hours. Serve with whipped cream.",1,cup,sugar, 1/2,cup,cornstarch,1,cup,water,1,tsp,"lemon rind, grated", 1/3,cup,lemon juice,2,nan,eggs,4,ounces,cream cheese,nan,nan,graham cracker crust,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"sugar;cornstarch;water;lemon rind, grated;lemon juice;eggs;cream cheese;graham cracker crust;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sugar', ';', 'cornstarch', ';', 'water', ';', 'lemon', 'rind', ',', 'grated', ';', 'lemon', 'juice', ';', 'eggs', ';', 'cream', 'cheese', ';', 'graham', 'cracker', 'crust', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs', 'graham']"
Lemon Luscious Pie,"Combine sugar, cornstarch, butter, lemon rind, and egg yolk in saucepan. Stir in milk. Cook over medium heat, stirring until mixture thickens. Cool. Fold in sour cream. Spoon into pie shell. Col 12 hours or longer. Top with whipped cream. Garnish with chopped walnuts if desired.",1,cup,sugar,3,Tbsp,cornstarch, 1/4,cup,butter,1,Tbsp,"lemon rind, grated", 1/4,cup,lemon juice,3,nan,"egg yolks, slightly beaten",1,cup,milk,1,cup,sour cream,1,"8""",pie shell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"sugar;cornstarch;butter;lemon rind, grated;lemon juice;egg yolks, slightly beaten;milk;sour cream;pie shell;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sugar', ';', 'cornstarch', ';', 'butter', ';', 'lemon', 'rind', ',', 'grated', ';', 'lemon', 'juice', ';', 'egg', 'yolks', ',', 'slightly', 'beaten', ';', 'milk', ';', 'sour', 'cream', ';', 'pie', 'shell', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'milk']"
Lemon Meringue Pie,"Mix sugar, cornstarch, and salt in top of double boiler. Place over boiling water and add remaining ingredients. Cook until thick, stirring with whip. Put into baked pie shell. Top with meringue. To make meringue whip 3 egg whites until stiff. Add 1/4 cup sugar. Brown 5 to 10 minutes in 400 degree oven. Chill.",1,cup,sugar,4,Tbsp,cornstarch, 1/2,tsp,salt,2,cups,hot water, 1/3,cup,"lemon juice, fresh or bottled",1,tsp,grated lemon juice,3,nan,egg yolks,1,Tbsp,butter,3,nan,egg whites, 1/4,cup,sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"sugar;cornstarch;salt;hot water;lemon juice, fresh or bottled;grated lemon juice;egg yolks;butter;egg whites;sugar;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sugar', ';', 'cornstarch', ';', 'salt', ';', 'hot', 'water', ';', 'lemon', 'juice', ',', 'fresh', 'or', 'bottled', ';', 'grated', 'lemon', 'juice', ';', 'egg', 'yolks', ';', 'butter', ';', 'egg', 'whites', ';', 'sugar', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Old Fashioned Apple Pie,Combine first 4 ingredients. Put in unbaked pie shell. Slice butter on top. Cover with top crust. Bake at 350 degrees for 1 hour.,5,apples,sliced,1,cup,sugar, 1/4,tsp,cinnamon, 1/2,cup,water,1,Tbsp,butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,sliced;sugar;cinnamon;water;butter;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['sliced', ';', 'sugar', ';', 'cinnamon', ';', 'water', ';', 'butter', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Peach Almond Pie,"Sprinkle peaches with lemon and sugar. Let stand 1 hour. Drain to get 1 cup syrup. Add cornstarch to syrup and blend. Cook over low heat until thick. Remove from heat. Add butter, salt, and almond extract. Cool. Carefully stir in peaches. Put in shell. Chill. Serve with whipped cream, topped with slivered almonds and marachino cherries.",2,cups,"fresh peaches, sliced",1,Tbsp,lemon juice, 1/4,cup,sugar,3,Tbsp,cornstarch,2,tsp,butter,nan,dash,salt, 1/4,tsp,almond extract,1,9 inch,pie shell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"fresh peaches, sliced;lemon juice;sugar;cornstarch;butter;salt;almond extract;pie shell;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['fresh', 'peaches', ',', 'sliced', ';', 'lemon', 'juice', ';', 'sugar', ';', 'cornstarch', ';', 'butter', ';', 'salt', ';', 'almond', 'extract', ';', 'pie', 'shell', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Peach Parfait Pie,Dissolve gelatin in hot water. At once add 1/4 of ice cream and stir until blended. Repeat until all of ice cream is added. Chill until almost firm. Mix peaches with sugar and fold into mixture. Pour into baked shell and chill unit firm. Whip cream and spread on pie.,1,3 ounce box,peach or lemon gelatin,1 1/4,cups,hot water,1,pint,Peach or vanilla ice cream,2,nan,"fresh peaches, peeled and diced", 1/4,cup,sugar,1,nan,"baked pie shell, chilled", 1/2,cup,heavy cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"peach or lemon gelatin;hot water;Peach or vanilla ice cream;fresh peaches, peeled and diced;sugar;baked pie shell, chilled;heavy cream;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['peach', 'or', 'lemon', 'gelatin', ';', 'hot', 'water', ';', 'Peach', 'or', 'vanilla', 'ice', 'cream', ';', 'fresh', 'peaches', ',', 'peeled', 'and', 'diced', ';', 'sugar', ';', 'baked', 'pie', 'shell', ',', 'chilled', ';', 'heavy', 'cream', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Peanut Butter Ice Cream Pie,"Mix graham cracker crumbs, sugar, and melted margarine. Press into 9"" pie pan. Chill. To make filling whip 1/2 cup whipping cream. Place ice cream in a bowl and stir to soften. Fold in peanut butter; then fold in whipped cream. Spoon mixture into crust. Freeze about 5 hours. Remove from freezer about 15 minutes before serving.",1 1/2,cups,"graham cracker crumbs, 18 squares", 1/4,cup,sugar, 1/2,cup,"margarine, melted", 1/2,cup,whipped cream or cool whip,1,quart,vanilla ice cream, 1/2,cup,chunk style peanut buter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"graham cracker crumbs, 18 squares;sugar;margarine, melted;whipped cream or cool whip;vanilla ice cream;chunk style peanut buter;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['graham', 'cracker', 'crumbs', ',', '18', 'squares', ';', 'sugar', ';', 'margarine', ',', 'melted', ';', 'whipped', 'cream', 'or', 'cool', 'whip', ';', 'vanilla', 'ice', 'cream', ';', 'chunk', 'style', 'peanut', 'buter', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['graham', 'sugar']"
Peanut Butter Pie,Combine first 5 ingredients. Mix thoroughly. Pour into pie shell. Bake at 350 degrees for 15 minutes. Reduce heat to 350 degrees and bake for 30 to 35 minutes. It should appear less set in the center. Chill. Top with whipped cream.,1,cup,light or dark corn syrup,1,cup,sugar,3,nan,"eggs, slightly beaten", 1/2,tsp,vanilla, 1/3,cup,chunk style peanut butter,1,nan,"pie shell, unbaked",1,cup,whipped cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"light or dark corn syrup;sugar;eggs, slightly beaten;vanilla;chunk style peanut butter;pie shell, unbaked;whipped cream;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['light', 'or', 'dark', 'corn', 'syrup', ';', 'sugar', ';', 'eggs', ',', 'slightly', 'beaten', ';', 'vanilla', ';', 'chunk', 'style', 'peanut', 'butter', ';', 'pie', 'shell', ',', 'unbaked', ';', 'whipped', 'cream', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs']"
Pie Crust,"Mix flour, salt, and shortening. Stir in water enough to bind mixture together to form soft dough. Makes two 9"" pie crusts or 1 double crust. For double crust pie bake at 350 degrees for 1 hour. For pie shell bake at 400 degrees for 10 minutes.",2,cups,sifted flour, 1/2,tsp,salt, 2/3,cup,shortening,4 or 5,Tbsp,ice water or 7-up,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,sifted flour;salt;shortening;ice water or 7-up;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['sifted', 'flour', ';', 'salt', ';', 'shortening', ';', 'ice', 'water', 'or', '7-up', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['flour']
Sour Cream Raisin Pie,"Boil raisins in water until plump. Add flour and sugar. Cook to thicken slightly then add egg yolks, sour cream, vanilla and nutmeg. Pour into 9"" bottom crust. Add top crust. Sprinkle with sugar. Bake 50 minutes at 350 degrees.",1 1/2,cups,raisins,1 1/2,cups,water,1 1/2,Tbsp,flour, 3/4,cup,sugar,3,nan,"egg yolks, slightly beaten",1,cup,sour cream,1,tsp,vanilla, 1/2,tsp,nutmeg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"raisins;water;flour;sugar;egg yolks, slightly beaten;sour cream;vanilla;nutmeg;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['raisins', ';', 'water', ';', 'flour', ';', 'sugar', ';', 'egg', 'yolks', ',', 'slightly', 'beaten', ';', 'sour', 'cream', ';', 'vanilla', ';', 'nutmeg', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour']"
Walnut Pie,Mix well. Pour into unbaked pie shell. Top with 1 cup walnuts or pecans. Bake at 350 degrees for 1 hour., 3/4,cup,sugar, 3/4,cup,light corn syrup,3,nan,eggs,1,cup,evaporated milk,1,tsp,vanilla,2,Tbsp,flour, 1/4,tsp,nutmeg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,sugar;light corn syrup;eggs;evaporated milk;vanilla;flour;nutmeg;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['sugar', ';', 'light', 'corn', 'syrup', ';', 'eggs', ';', 'evaporated', 'milk', ';', 'vanilla', ';', 'flour', ';', 'nutmeg', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'flour', 'milk', 'eggs']"
Walnut-Raisin pie,"Mix sugar and butter. Add eggs one at a time, beating after each is added. Add raisins nuts, and vanilla. Pour into unbaked pie shell. Bake at 400 degrees for 10 minutes. Reduce heat to 375 degrees for 30 minutes.", 3/4,cup,sugar,3,nan,eggs,1,cup,"walnuts, chopped", 1/2,cup,butter,1,tsp,vanilla,1,cup,raisins,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"sugar;eggs;walnuts, chopped;butter;vanilla;raisins;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['sugar', ';', 'eggs', ';', 'walnuts', ',', 'chopped', ';', 'butter', ';', 'vanilla', ';', 'raisins', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs']"
Angel Hash,"Cook cornstarch, sugar, pineapple juice, and egg yolks until thick. Cool and fold in remaining ingredients. ",2,Tbsp,cornstarch, 1/4,cup,sugar,1,cup,pineapple juice,2,nan,eggs,1,cup,Dream Whip or whipped cream,2 1/2,cups,pineapple tidbits, 1/4,cup,"walnuts, chopped", 1/4,pound,marshmallows,nan,nan,"bananas, sliced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pies,"cornstarch;sugar;pineapple juice;eggs;Dream Whip or whipped cream;pineapple tidbits;walnuts, chopped;marshmallows;bananas, sliced;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['cornstarch', ';', 'sugar', ';', 'pineapple', 'juice', ';', 'eggs', ';', 'Dream', 'Whip', 'or', 'whipped', 'cream', ';', 'pineapple', 'tidbits', ';', 'walnuts', ',', 'chopped', ';', 'marshmallows', ';', 'bananas', ',', 'sliced', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']","['sugar', 'eggs']"
Blue Cheese Dressing,Mix or shake well.,6,ounces,blue cheese,1,cup,buttermilk,1,quart,mayonnaise,1 1/2,ounces,white sauterne wine,nan,dash,garlic powder,nan,dash,accent seasoning mix,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,salads and dressings,blue cheese;buttermilk;mayonnaise;white sauterne wine;garlic powder;accent seasoning mix;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['blue', 'cheese', ';', 'buttermilk', ';', 'mayonnaise', ';', 'white', 'sauterne', 'wine', ';', 'garlic', 'powder', ';', 'accent', 'seasoning', 'mix', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Broccoli Curry Salad,nan,4,cups,"broccoli, cut into small pieces", 1/2,cup,raisins,1,nan,red onion,1,cup,sunflower seed,1,cup,mayonnaise,2 or 3,nan,stalks of celery,1,Tbsp,red wine vinegar ,nan,nan,"curry, to taste",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,salads and dressings,"broccoli, cut into small pieces;raisins;red onion;sunflower seed;mayonnaise;stalks of celery;red wine vinegar ;curry, to taste;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['broccoli', ',', 'cut', 'into', 'small', 'pieces', ';', 'raisins', ';', 'red', 'onion', ';', 'sunflower', 'seed', ';', 'mayonnaise', ';', 'stalks', 'of', 'celery', ';', 'red', 'wine', 'vinegar', ';', 'curry', ',', 'to', 'taste', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Broccoli Salad,Pour dressing over salad two hours before serving.,2 or 3,heads,"broccoli florets, bite size",8,ounce,"mozzarella cheese, shredded",1,small,"red onion, chopped",4 to 5,strips,"crisp bacon, crumbled",1,cup,mayonnaise, 1/3,cup,sugar,2,Tbsp,vinegar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,salads and dressings,"broccoli florets, bite size;mozzarella cheese, shredded;red onion, chopped;crisp bacon, crumbled;mayonnaise;sugar;vinegar;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['broccoli', 'florets', ',', 'bite', 'size', ';', 'mozzarella', 'cheese', ',', 'shredded', ';', 'red', 'onion', ',', 'chopped', ';', 'crisp', 'bacon', ',', 'crumbled', ';', 'mayonnaise', ';', 'sugar', ';', 'vinegar', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Broccoli Salad with Pineapple,"Cut broccoli flowers. Chop the top 2 inches of the stems into small pieces. Mix together broccoli, crisp bacon, drained pineapple, onion, and sunflower seeds. Blend mayonnaise, sugar, and vinegar to make dressing. Pour over top of broccoli mixture. Toss and serve. Note: This salad is also great with sliced raw carrots and cauliflower.",5 to 6,strips,"bacon, but small, fry until crisp",1,bunch,broccoli,1,16 oz. can,"crushed pineapple, well drained",1,nan," red onion, chopped fine", 1/2,cup,sunflower seeds,1,cup,mayonnaise,1,Tbsp,sugar,2,Tbsp,vinegar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,salads and dressings,"bacon, but small, fry until crisp;broccoli;crushed pineapple, well drained; red onion, chopped fine;sunflower seeds;mayonnaise;sugar;vinegar;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['bacon', ',', 'but', 'small', ',', 'fry', 'until', 'crisp', ';', 'broccoli', ';', 'crushed', 'pineapple', ',', 'well', 'drained', ';', 'red', 'onion', ',', 'chopped', 'fine', ';', 'sunflower', 'seeds', ';', 'mayonnaise', ';', 'sugar', ';', 'vinegar', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Carrot Carousel,"Sprinkle gelatine over 1/2 cup of cold orange juice in blender container that will hold 5 cups. Add boiling orange juice; cover and process at low speed until gelatin dissolves. Add remaining 1 cup cold orange juice, salt, and salad dressing; process until well blended. Add carrot pieces; cover and turn to high speed, on and off several times until carrots are finely grated. Stir in pineapple and syrup; pour into 6 cup mold. Chill until firm.",2,envelopes,Knox Unflavored Gelatin,1 1/2,cups,"cold orange juice, divided", 1/2,cup,boiling orange juice, 1/4,tsp,salt,1,cup,salad dressing,1 1/2,cups,carrot pieces,1,13.4 oz. can,crushed pineapple,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,salads and dressings,"Knox Unflavored Gelatin;cold orange juice, divided;boiling orange juice;salt;salad dressing;carrot pieces;crushed pineapple;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['Knox', 'Unflavored', 'Gelatin', ';', 'cold', 'orange', 'juice', ',', 'divided', ';', 'boiling', 'orange', 'juice', ';', 'salt', ';', 'salad', 'dressing', ';', 'carrot', 'pieces', ';', 'crushed', 'pineapple', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
Coleslaw,Shred cabbage. Mix remaining ingredients to make dressing. Stir together., 1/2,head,cabbage, 1/4,cup,mayonnaise, 1/2,cup,sour cream,1,Tbsp,vinegar,1,Tbsp,sugar, 1/2,tsp,horseradish,nan,nan,salt and pepper,1,tsp,caraway seed (optional),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,salads and dressings,cabbage;mayonnaise;sour cream;vinegar;sugar;horseradish;salt and pepper;caraway seed (optional);nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan,"['cabbage', ';', 'mayonnaise', ';', 'sour', 'cream', ';', 'vinegar', ';', 'sugar', ';', 'horseradish', ';', 'salt', 'and', 'pepper', ';', 'caraway', 'seed', '(', 'optional', ')', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",['sugar']
Cranberry Mold,"Mix jello with hot water. Jell slightly then add cranberry sauce, sour cream, and nuts. Mix and chill until set.",2,cups,hot water,2,packages,"cherry jello, or 1 large",1,can,whole cranberry sauce,1,pint,sour cream, 1/2,cup,"nuts, chopped",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,salads and dressings,"hot water;cherry jello, or 1 large;whole cranberry sauce;sour cream;nuts, chopped;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan","['hot', 'water', ';', 'cherry', 'jello', ',', 'or', '1', 'large', ';', 'whole', 'cranberry', 'sauce', ';', 'sour', 'cream', ';', 'nuts', ',', 'chopped', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan', ';', 'nan']",[]
